MammalBland,Common Name,Order,Family,Species Name,Status,States
Woodrat,Bushy-tailed Woodrat,Rodentia,Cricetidae,Neotoma cinerea,Lower Risk,"Alaska, Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Deermouse,Cactus Deermouse,Rodentia,Cricetidae,Peromyscus eremicus,Lower Risk,"Arizona, California, New Mexico, Nevada, Texas, Utah"
Chipmunk,California Chipmunk,Rodentia,Sciuridae,Tamias obscurus,Lower Risk,California
Deermouse,California Deermouse,Rodentia,Cricetidae,Peromyscus californicus,Lower Risk,California
Squirrel,California Ground Squirrel,Rodentia,Sciuridae,Otospermophilus beecheyi,Lower risk,"California, Nevada, Oregon, Washington"
Rat,California Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys californicus,,"California, Oregon"
Mouse,California Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus californicus,,California
Lion,California Sea Lion,Carnivora,Otariidae,Zalophus californianus,Common,"Alaska, California, Oregon, Washington"
Vole,California Vole,Rodentia,Cricetidae,Microtus californicus,"U.S. ESA - Endangered; IUCN - Vulnerable as M. c. mohavensis and M. c. scirpensis, Data Deficient as M. c. stephensi, Lower Risk (nt) as M. c. vallicola, otherwise Lower Risk (lc)","California, Oregon"
Bat,Californian Leaf-nosed Bat,Chiroptera,Phyllostomidae,Macrotus californicus,Vulnerable,"Arizona, California, Nevada"
Myotis,Californian Myotis,Chiroptera,Vespertilionidae,Myotis californicus,Lower Risk (lc),"Alaska, Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Texas, Utah, Washington"
Gopher,Camas Pocket Gopher,Rodentia,Geomyidae,Thomomys bulbivorus,Lower Risk,Oregon
Lynx,Canada Lynx,Carnivora,Felidae,Lynx canadensis,Common in range,"Alaska, Colorado, Idaho, Maine, Michigan, Minnesota, Montana, New Hampshire, New York, Oregon, Utah, Vermont, Washington, Wisconsin, Wyoming"
Bat,Canyon Bat,Chiroptera,Vespertilionidae,Parastrellus hesperus,Lower Risk (lc),"Arizona, California, Colorado, Idaho, New Mexico, Nevada, Oregon, Texas, Utah, Washington"
Deermouse,Canyon Deermouse,Rodentia,Cricetidae,Peromyscus crinitus,Lower Risk,"Arizona, California, Colorado, Idaho, New Mexico, Nevada, Oregon, Utah, Wyoming"
Caribou,Caribou,Artiodactyla,Cervidae,Rangifer tarandus,Common within its range,"Alaska, Oregon, Washington"
Squirrel,Cascade Golden-mantled Ground Squirrel,Rodentia,Sciuridae,Callospermophilus saturatus,Lower risk,Washington
Myotis,Cave Myotis,Chiroptera,Vespertilionidae,Myotis velifer,Lower Risk (lc),"Arizona, Kansas, Nebraska, New Mexico, Oklahoma, Texas"
Gopher,Central Texas Pocket Gopher,Rodentia,Geomyidae,Geomys texensis,Lowered Risk as G. texensis and as G. t. bakeri,Texas
Fox,Channel Islands Fox,Carnivora,Canidae,Urocyon littoralis,Rare,California
Mouse,Chihuahuan Grasshopper Mouse,Rodentia,Cricetidae,Onychomys arenicola,Lower Risk,"Colorado, New Mexico, Texas"
Mouse,Chihuahuan Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus eremicus,,"New Mexico, Texas"
Rat,Chisel-toothed Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys microps,,"Arizona, California, Idaho, Nevada, Oregon, Utah"
Chital,Chital,Artiodactyla,Cervidae,Axis axis,,Hawaii
