MammalBland,Common Name,Order,Family,Species Name,Status,States
Skunk,Striped Skunk,Carnivora,Mephitidae,Mephitis mephitis,Common,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Rabbit,Swamp Rabbit,Lagomorpha,Leporidae,Sylvilagus aquaticus,Lower Risk,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, South Carolina, Tennessee, Texas"
Fox,Swift Fox,Carnivora,Canidae,Vulpes velox,Common,"Colorado, Kansas, Montana, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming"
Vole,Taiga Vole,Rodentia,Cricetidae,Microtus xanthognathus,Lower Risk (lc),Alaska
Rat,Tawny-bellied Cotton Rat,Rodentia,Cricetidae,Sigmodon fulviventer,"Extinct as S. f. goldmani, otherwise Lower Risk","Arizona, New Mexico, Texas"
Squirrel,Texas Antelope Squirrel,Rodentia,Sciuridae,Ammospermophilus interpres,Lower Risk,"New Mexico, Texas"
Deermouse,Texas Deermouse,Rodentia,Cricetidae,Peromyscus attwateri,Lower Risk,"Arkansas, Kansas, Missouri, Oklahoma, Texas"
Rat,Texas Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys elator,Listed by Texas Parks and Wildlife Department as Threatened.,"Oklahoma, Texas"
Gopher,Texas Pocket Gopher,Rodentia,Geomyidae,Geomys personatus,"Vulnerable as G. p. maritimus and G. p. streckeri, Lower Risk as G. p. fuscus and as G. personatus.",Texas
Squirrel,Thirteen-lined Ground Squirrel,Rodentia,Sciuridae,Ictidomys tridecemlineatus,,"Arkansas, Arizona, Colorado, Iowa, Illinois, Indiana, Kansas, Michigan, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Ohio, Oklahoma, South Dakota, Texas, Utah, Wisconsin, Wyoming"
bat,Townsend's Big-eared bat,Chiroptera,Vespertilionidae,Corynorhinus townsendii,Vulnerable,"Arkansas, Arizona, California, Colorado, Idaho, Kansas, Kentucky, Maryland, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Mexico, Nevada, Ohio, Oklahoma, Oregon, South Dakota, Tennessee, Texas, Utah, Virginia, Washington, West Virginia, Wyoming"
Chipmunk,Townsend's Chipmunk,Rodentia,Sciuridae,Tamias townsendii,,"Oregon, Washington"
Mole,Townsend's Mole,Soricomorpha,Talpidae,Scapanus townsendii,Least concern,"California, Oregon, Washington"
Gopher,Townsend's Pocket Gopher,Rodentia,Geomyidae,Thomomys townsendii,Lower risk,"California, Idaho, Nevada, Oregon"
Vole,Townsend's Vole,Rodentia,Cricetidae,Microtus townsendii,"Lower Risk (cd) as M. t. cowani, otherwise Lower Risk (nt)","California, Oregon, Washington"
Shrew,Trowbridge's Shrew,Soricomorpha,Soricidae,Sorex trowbridgii,Least concern,"California, Nevada, Oregon, Washington"
Whale,True's Beaked Whale,Cetacea,,Mesoplodon mirus,Data deficient,"Connecticut, Delaware, Florida, Georgia, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Rhode Island, South Carolina, Virginia"
Shrew,Tundra Shrew,Soricomorpha,Soricidae,Sorex tundrensis,Least concern,Alaska
Chipmunk,Uinta Chipmunk,Rodentia,Sciuridae,Tamias umbrinus,,"Arizona, California, Colorado, Idaho, Montana, Nevada, Utah, Wyoming"
Squirrel,Uinta Ground Squirrel,Rodentia,Sciuridae,Urocitellus armatus,,"Idaho, Montana, Utah, Wyoming"
Lemming,Unalaska Collared Lemming,Rodentia,Cricetidae,Dicrostonyx unalascensis,Data Deficient,Alaska
Bat,Underwood's Bonneted Bat,Chiroptera,Molossidae,Eumops underwoodi,Lower Risk (nt),Arizona
Dog,Utah Prairie Dog,Rodentia,Sciuridae,Cynomys parvidens,State threatened,Utah
Shrew,Vagrant Shrew,Soricomorpha,Soricidae,Sorex vagrans,Least concern,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Opossum,Virginia Opossum,Didelphimorphia,Didelphidae,Didelphis virginiana,least concern,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Washington, Wisconsin, West Virginia"
Bat,Wagner's Bonneted Bat,Chiroptera,Molossidae,Eumops glaucinus,Lower risk (lc),Florida
Walrus,Walrus,Carnivora,Odobenidae,Odobenus rosmarus,Common,Alaska
Squirrel,Washington Ground Squirrel,Rodentia,Sciuridae,Urocitellus washingtoni,Vulnerable,"Oregon, Washington"
Shrew,Water Shrew,Soricomorpha,Soricidae,Sorex palustris,Least concern,"Alaska, Arizona, California, Colorado, Connecticut, Idaho, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, New Mexico, Nevada, New York, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Manatee,West Indian Manatee,Sirenia,Trichechidae,Trichechus manatus,rare,"Florida, Georgia, South Carolina"
Squirrel,Western Grey Squirrel,Rodentia,Sciuridae,Sciurus griseus,,"California, Nevada, Oregon, Washington"
Mouse,Western Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys megalotis,Lower Risk,"Arkansas, Arizona, California, Colorado, Iowa, Idaho, Illinois, Indiana, Kansas, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wisconsin, Wyoming"
Vole,Western Heather Vole,Rodentia,Cricetidae,Phenacomys intermedius,Lower Risk,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington"
Mouse,Western Jumping Mouse,Rodentia,Dipodidae,Zapus princeps,Lower Risk,"Alaska, California, Colorado, Idaho, Montana, North Dakota, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Gopher,Western Pocket Gopher,Rodentia,Geomyidae,Thomomys mazama,"US ESA - Candidate; IUCN - Extinct as T. m. tacomensis; Critically Endangered as T. m. louiei; Vulnerable as T. m. couchi, T. m. glacialis, T. m. pugetensis, T. m. tumuli, and T. m. yelmensis; Lower Risk as T. mazama and as T. m. helleri and T. m. melanop","California, Oregon, Washington"
Bat,Western Red Bat,Chiroptera,Vespertilionidae,Lasiurus blossevillii,Lower Risk (lc),"Arizona, California, New Mexico, Nevada, Oregon, Utah, Washington"
Vole,Western Red-backed Vole,Rodentia,Cricetidae,Myodes californicus,Lower Risk as Clethrionomys californicus,"California, Oregon"
Bat,Western Small-footed Bat,Chiroptera,Vespertilionidae,Myotis ciliolabrum,Lower Risk (lc),"Arizona, California, Colorado, Idaho, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Skunk,Western Spotted Skunk,Carnivora,Mephitidae,Spilogale gracilis,Unknown,"Arizona, California, Colorado, Idaho, Montana, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Bat,Western Yellow Bat,Chiroptera,Vespertilionidae,Lasiurus xanthinus,Lower Risk (lc),"Arizona, California, New Mexico"
Deermouse,White-ankled Deermouse,Rodentia,Cricetidae,Peromyscus pectoralis,Lower Risk,"New Mexico, Oklahoma, Texas"
Dolphin,White-beaked Dolphin,Cetacea,Delphinidae,Lagenorhynchus albirostris,Lower Risk,"Massachusetts, Maine, New Hampshire"
Mouse,White-eared Pocket Mouse,Rodentia,Heteromyidae,Perognathus alticolus,,California
Deermouse,White-footed Deermouse,Rodentia,Cricetidae,Peromyscus leucopus,"Data Deficient as P. l. ammodytes, otherwise Lower Risk","Alabama, Arkansas, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia, Wyoming"
Vole,White-footed Vole,Rodentia,Cricetidae,Arborimus albipes,Data Deficient,"California, Oregon"
Coati,White-nosed Coati,Carnivora,Procyonidae,Nasua narica,"Rare in Texas and New Mexico, but common in areas of Arizona.","Arizona, New Mexico, Texas"
Jackrabbit,White-sided Jackrabbit,Lagomorpha,Leporidae,Lepus callotis,Lower risk,"Arizona, New Mexico"
Squirrel,White-tailed Antelope Squirrel,Rodentia,Sciuridae,Ammospermophilus leucurus,,"Arizona, California, Colorado, Idaho, New Mexico, Nevada, Oregon, Utah"
Deer,White-tailed Deer,Artiodactyla,Cervidae,Odocoileus virginianus,Common,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Jackrabbit,White-tailed Jackrabbit,Lagomorpha,Leporidae,Lepus townsendii,Lower risk,"California, Colorado, Iowa, Idaho, Illinois, Kansas, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wisconsin, Wyoming"
Dog,White-tailed Prairie Dog,Rodentia,Sciuridae,Cynomys leucurus,Decreasing,"Colorado, Montana, Utah, Wyoming"
Woodrat,White-throated Woodrat,Rodentia,Cricetidae,Neotoma albigula,"Endangered as N. varia, Lower Risk as N. albigula",
Wolverine,Wolverine,Carnivora,Mustelidae,Gulo gulo,Rare within the 48 contiguous US.,"Alaska, California, Idaho, Montana, Nevada, Oregon, Utah, Washington"
Woodchuck,Woodchuck,Rodentia,Sciuridae,Marmota monax,,"Alaska, Alabama, Arkansas, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Vermont, Washington, Wisconsin, West Virginia"
Mouse,Woodland Jumping Mouse,Rodentia,Dipodidae,Napaeozapus insignis,Lower Risk,"Connecticut, Georgia, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, North Carolina, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Vole,Woodland Vole,Rodentia,Cricetidae,Microtus pinetorum,Lower Risk,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Squirrel,Wyoming Ground Squirrel,Rodentia,Sciuridae,Urocitellus elegans,,"Colorado, Idaho, Montana, Nevada, Oregon, Utah, Wyoming"
Gopher,Wyoming Pocket Gopher,Rodentia,Geomyidae,Thomomys clusius,Lower risk,Wyoming
Marmot,Yellow-bellied Marmot,Rodentia,Sciuridae,Marmota flaviventris,,"Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Chipmunk,Yellow-cheeked Chipmunk,Rodentia,Sciuridae,Tamias ochrogenys,Lower Risk,California
Gopher,Yellow-faced Pocket Gopher,Rodentia,Geomyidae,Cratogeomys castanops,Lower risk,"Colorado, Kansas, New Mexico, Oklahoma, Texas"
Rat,Yellow-nosed Cotton Rat,Rodentia,Cricetidae,Sigmodon ochrognathus,Lower Risk,"Arizona, New Mexico, Texas"
Chipmunk,Yellow-pine Chipmunk,Rodentia,Sciuridae,Tamias amoenus,,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Myotis,Yuma Myotis,Chiroptera,Vespertilionidae,Myotis yumanensis,Lower Risk (lc),"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
Shrew,prairie Shrew,Soricomorpha,Soricidae,Sorex haydeni,Least concern,"Colorado, Iowa, Illinois, Kansas, Minnesota, Missouri, Montana, North Dakota, Nebraska, South Dakota, Wyoming"
